TAXID,SAMPLE,SEQUENCE_ID,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,COVERAGE_PCT,IDENTITY_PCT,DATABASE,ACCESSION,PRODUCT,RESISTANCE,NAME
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",7029,8639,"+","entE","1-1611/1611","===============","0/0",100,99.07,"vfdb","WP_000026784","(entE) 23-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",8653,9511,"+","entB","1-858/858","========/======","1/1",100,99.07,"vfdb","WP_001007140","(entB) isochorismatase [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","4e76aa74-d282-4874-8228-eb174961fcbd",9641,10165,"+","fimI","1-526/540","========/======","1/1",97.22,97.53,"vfdb","WP_000824100","(fimI) Fimbrin-like protein fimI precursor [Type 1 fimbriae (VF0221) - Adherence (VFC0001)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",3446,4699,"+","entS","1-1251/1251","========/======","2/3",100,98.33,"vfdb","WP_001041793","(entS) enterobactin exporter iron-regulated [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","4e76aa74-d282-4874-8228-eb174961fcbd",9037,9576,"+","fimA","1-549/549","========/======","15/31",96.36,80.18,"vfdb","WP_000695571","(fimA) Type-1 fimbrial protein A chain precursor [Type 1 fimbriae (VF0221) - Adherence (VFC0001)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",9511,10258,"+","entA","1-747/747","========/======","1/1",100,98.13,"vfdb","WP_000348393","(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase EntA [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","4e76aa74-d282-4874-8228-eb174961fcbd",8108,8700,"+","fimE","1-597/597","========/======","4/6",99.16,97.32,"vfdb","WP_000044711","(fimE) Type 1 fimbriae Regulatory protein fimE [Type 1 fimbriae (VF0221) - Adherence (VFC0001)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",5848,7019,"+","entC","1-1176/1176","========/======","4/6",99.57,98.81,"vfdb","WP_001336900","(entC) isochorismate synthase 1 [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","4e76aa74-d282-4874-8228-eb174961fcbd",7032,7632,"+","fimB","1-603/603","========/======","2/4",99.5,97.02,"vfdb","WP_000790574","(fimB) Type 1 fimbriae Regulatory protein fimB [Type 1 fimbriae (VF0221) - Adherence (VFC0001)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","4e76aa74-d282-4874-8228-eb174961fcbd",9037,9576,"+","fimA","1-549/549","========/======","15/31",96.36,80.18,"vfdb","WP_000695571","(fimA) Type-1 fimbrial protein A chain precursor [Type 1 fimbriae (VF0221) - Adherence (VFC0001)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","4e76aa74-d282-4874-8228-eb174961fcbd",8108,8700,"+","fimE","1-597/597","========/======","4/6",99.16,97.32,"vfdb","WP_000044711","(fimE) Type 1 fimbriae Regulatory protein fimE [Type 1 fimbriae (VF0221) - Adherence (VFC0001)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","4e76aa74-d282-4874-8228-eb174961fcbd",7032,7632,"+","fimB","1-603/603","========/======","2/4",99.5,97.02,"vfdb","WP_000790574","(fimB) Type 1 fimbriae Regulatory protein fimB [Type 1 fimbriae (VF0221) - Adherence (VFC0001)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",528,1342,"-","fepC","1-816/816","========/======","1/1",99.88,99.02,"vfdb","WP_000140634","(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","4e76aa74-d282-4874-8228-eb174961fcbd",9641,10165,"+","fimI","1-526/540","========/======","1/1",97.22,97.53,"vfdb","WP_000824100","(fimI) Fimbrin-like protein fimI precursor [Type 1 fimbriae (VF0221) - Adherence (VFC0001)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",9511,10258,"+","entA","1-747/747","========/======","1/1",100,98.13,"vfdb","WP_000348393","(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase EntA [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",3446,4699,"+","entS","1-1251/1251","========/======","2/3",100,98.33,"vfdb","WP_001041793","(entS) enterobactin exporter iron-regulated [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",528,1342,"-","fepC","1-816/816","========/======","1/1",99.88,99.02,"vfdb","WP_000140634","(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","4e76aa74-d282-4874-8228-eb174961fcbd",10216,10929,"+","fimC","1-726/726","========/======","4/16",98.07,96.02,"vfdb","WP_000066579","(fimC) Chaperone protein fimC precursor [Type 1 fimbriae (VF0221) - Adherence (VFC0001)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",7029,8639,"+","entE","1-1611/1611","===============","0/0",100,99.07,"vfdb","WP_000026784","(entE) 23-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",1339,2332,"-","fepG","1-993/993","========/======","1/1",100,99.5,"vfdb","WP_000640938","(fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",5848,7019,"+","entC","1-1176/1176","========/======","4/6",99.57,98.81,"vfdb","WP_001336900","(entC) isochorismate synthase 1 [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",4703,5659,"-","fepB","1-957/957","===============","0/0",100,99.79,"vfdb","WP_001234311","(fepB) ferrienterobactin ABC transporter periplasmic binding protein [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",8653,9511,"+","entB","1-858/858","========/======","1/1",100,99.07,"vfdb","WP_001007140","(entB) isochorismatase [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","4e76aa74-d282-4874-8228-eb174961fcbd",10216,10929,"+","fimC","1-726/726","========/======","4/16",98.07,96.02,"vfdb","WP_000066579","(fimC) Chaperone protein fimC precursor [Type 1 fimbriae (VF0221) - Adherence (VFC0001)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",2329,3334,"-","fepD","1-1005/1005","========/======","1/1",100,98.21,"vfdb","WP_001443194","(fepD) ferrienterobactin ABC transporter permease [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",4703,5659,"-","fepB","1-957/957","===============","0/0",100,99.79,"vfdb","WP_001234311","(fepB) ferrienterobactin ABC transporter periplasmic binding protein [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",1339,2332,"-","fepG","1-993/993","========/======","1/1",100,99.5,"vfdb","WP_000640938","(fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
11,"D21","36014755-13df-4bae-9811-6ccf652e588e",2329,3334,"-","fepD","1-1005/1005","========/======","1/1",100,98.21,"vfdb","WP_001443194","(fepD) ferrienterobactin ABC transporter permease [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Cellulomonas gilvus"
1121115,"D19","b913a55a-33e0-480b-bcfd-f166f4a1dd62",1335,3248,"+","tet(32)","1-1920/1920","========/======","2/6",99.69,94.64,"card","EU722333.1:1932-3852","Tet(32) is a tetracycline resistance gene similar to Tet(O) and binds to the ribosome to confer tetracycline resistance as a ribosomal protection protein.","tetracycline","Blautia wexlerae DSM 19850"
1121115,"D19","b913a55a-33e0-480b-bcfd-f166f4a1dd62",1335,3248,"+","tet(32)","1-1920/1920","========/======","2/6",99.69,94.64,"card","EU722333.1:1932-3852","Tet(32) is a tetracycline resistance gene similar to Tet(O) and binds to the ribosome to confer tetracycline resistance as a ribosomal protection protein.","tetracycline","Blautia wexlerae DSM 19850"
1155388,"D24","02025faf-88e6-4d2d-b9c9-5ece3b0d1c08",3113,3848,"-","ErmG","1-735/735","========/======","2/3",99.86,99.05,"card","L42817.1:201-936","ErmG is a rRNA adenine N-6-methyltransferase that protects the ribosome from inactivation due to antibiotic binding.","lincosamide;macrolide;streptogramin;streptogramin_A;streptogramin_B","Clostridium sp. C1"
1155388,"D22","01b79485-b523-447e-8aa1-dd2a22bb68e9",1976,2469,"-","lnuC","1-495/495","========/======","2/5",99.39,97.79,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridium sp. C1"
1155388,"D24","02025faf-88e6-4d2d-b9c9-5ece3b0d1c08",3113,3848,"-","ErmG","1-735/735","========/======","2/3",99.86,99.05,"card","L42817.1:201-936","ErmG is a rRNA adenine N-6-methyltransferase that protects the ribosome from inactivation due to antibiotic binding.","lincosamide;macrolide;streptogramin;streptogramin_A;streptogramin_B","Clostridium sp. C1"
1155388,"D22","01b79485-b523-447e-8aa1-dd2a22bb68e9",1976,2469,"-","lnuC","1-495/495","========/======","2/5",99.39,97.79,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridium sp. C1"
1155388,"D31","6379e512-1928-4f87-bfde-f118f8c8193b",2980,3462,"-","lnuC","1-495/495","========/======","10/16",97.17,93.96,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridium sp. C1"
1155388,"D21","4bebf86c-e265-4b82-8049-bdc79c2f07d7",2052,2545,"-","lnuC","1-495/495","========/======","1/1",99.8,98.59,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridium sp. C1"
1155388,"D21","4bebf86c-e265-4b82-8049-bdc79c2f07d7",2052,2545,"-","lnuC","1-495/495","========/======","1/1",99.8,98.59,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridium sp. C1"
1155388,"D31","6379e512-1928-4f87-bfde-f118f8c8193b",2980,3462,"-","lnuC","1-495/495","========/======","10/16",97.17,93.96,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridium sp. C1"
1155388,"D26","13d13130-bc0f-41b2-9738-c9c6851b0f82",3125,3619,"-","lnuC","1-495/495","===============","0/0",100,98.59,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridium sp. C1"
1155388,"D26","13d13130-bc0f-41b2-9738-c9c6851b0f82",3125,3619,"-","lnuC","1-495/495","===============","0/0",100,98.59,"card","AY928180.1:0-495","lnuC is a transposon-mediated nucleotidyltransferase found in Streptococcus agalactiae.","lincosamide","Clostridium sp. C1"
1224,"D28","8c0384d4-6cd3-406f-8e15-53e94ce326f2",252,403,"+","Col156_1","1-152/154","===============","0/0",98.7,98.03,"plasmidfinder","NC_009781","Col156_1__NC_009781",NA,"Pseudomonadota"
1224,"D24","82262f46-eb6c-42bc-9138-bc5bb5591aed",4191,5051,"-","TEM-1","1-861/861","========/======","2/2",99.88,99.19,"card","AL513383.1:161910-162771","TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.","cephalosporin;monobactam;penam;penem","Pseudomonadota"
1224,"D24","82262f46-eb6c-42bc-9138-bc5bb5591aed",1861,2766,"-","mphA","1-906/906","===============","0/0",100,99.78,"card","D16251.1:2531-1625","The mphA gene encodes for resistance enzyme MPH(2')-I which preferentially inactivate 14-membered macrolides (e.g.erythromycin telithromycin roxithromycin) over 16-membered macrolides (e.g.tylosin spiramycin). It phosphorylates macrolides at 2'-OH hydroxyl of desosamine sugar of macrolides in a GTP-dependent manner.","macrolide","Pseudomonadota"
1224,"D24","82262f46-eb6c-42bc-9138-bc5bb5591aed",7096,7565,"+","dfrA17","1-474/474","========/======","1/4",99.16,99.16,"card","DQ838665.1:0-474","dfrA17 is an integron-encoded dihydrofolate reductase found in Escherichia coli.","diaminopyrimidine","Pseudomonadota"
1224,"D29","4ce8e25e-93d3-4920-92e8-66ae97535f98",158,439,"-","Col440II_1","1-282/282","========/======","2/2",99.65,96.82,"plasmidfinder","CP023921","Col440II_1__CP023921",NA,"Pseudomonadota"
1224,"D24","82262f46-eb6c-42bc-9138-bc5bb5591aed",1861,2766,"-","mphA","1-906/906","===============","0/0",100,99.78,"card","D16251.1:2531-1625","The mphA gene encodes for resistance enzyme MPH(2')-I which preferentially inactivate 14-membered macrolides (e.g.erythromycin telithromycin roxithromycin) over 16-membered macrolides (e.g.tylosin spiramycin). It phosphorylates macrolides at 2'-OH hydroxyl of desosamine sugar of macrolides in a GTP-dependent manner.","macrolide","Pseudomonadota"
1224,"D36","56b5ed70-235a-4814-a923-dbe79b651811",2178,2308,"+","Col(pHAD28)_1","1-131/131","===============","0/0",100,90.84,"plasmidfinder","KU674895","Col(pHAD28)_1__KU674895",NA,"Pseudomonadota"
1224,"D29","4ce8e25e-93d3-4920-92e8-66ae97535f98",4209,4339,"-","Col(pHAD28)_1","1-131/131","===============","0/0",100,90.84,"plasmidfinder","KU674895","Col(pHAD28)_1__KU674895",NA,"Pseudomonadota"
1224,"D33","953ebc51-49f5-41b9-98f6-ce344b38e4e6",4265,4391,"-","Col(pHAD28)_1","1-131/131","========/======","1/4",96.95,84.73,"plasmidfinder","KU674895","Col(pHAD28)_1__KU674895",NA,"Pseudomonadota"
1224,"D36","56b5ed70-235a-4814-a923-dbe79b651811",2178,2308,"+","Col(pHAD28)_1","1-131/131","===============","0/0",100,90.84,"plasmidfinder","KU674895","Col(pHAD28)_1__KU674895",NA,"Pseudomonadota"
1224,"D24","82262f46-eb6c-42bc-9138-bc5bb5591aed",629,1864,"-","Mrx","1-1239/1239","========/======","4/7",99.6,98.79,"card","AY522923.1:8983-7744","Mrx is part of the macrolide inactivation gene cluster in Aeromonas hydrophila.","macrolide","Pseudomonadota"
1224,"D29","4ce8e25e-93d3-4920-92e8-66ae97535f98",4209,4339,"-","Col(pHAD28)_1","1-131/131","===============","0/0",100,90.84,"plasmidfinder","KU674895","Col(pHAD28)_1__KU674895",NA,"Pseudomonadota"
1224,"D24","82262f46-eb6c-42bc-9138-bc5bb5591aed",629,1864,"-","Mrx","1-1239/1239","========/======","4/7",99.6,98.79,"card","AY522923.1:8983-7744","Mrx is part of the macrolide inactivation gene cluster in Aeromonas hydrophila.","macrolide","Pseudomonadota"
1224,"D33","953ebc51-49f5-41b9-98f6-ce344b38e4e6",201,484,"-","Col440II_1","1-282/282","========/======","1/2",100,96.13,"plasmidfinder","CP023921","Col440II_1__CP023921",NA,"Pseudomonadota"
1224,"D24","82262f46-eb6c-42bc-9138-bc5bb5591aed",7096,7565,"+","dfrA17","1-474/474","========/======","1/4",99.16,99.16,"card","DQ838665.1:0-474","dfrA17 is an integron-encoded dihydrofolate reductase found in Escherichia coli.","diaminopyrimidine","Pseudomonadota"
1224,"D33","953ebc51-49f5-41b9-98f6-ce344b38e4e6",4265,4391,"-","Col(pHAD28)_1","1-131/131","========/======","1/4",96.95,84.73,"plasmidfinder","KU674895","Col(pHAD28)_1__KU674895",NA,"Pseudomonadota"
1224,"D29","494d29dc-9ab8-45b7-ac6d-d67a8e933d85",9079,9861,"-","APH(3')-IIIa","1-795/795","========/======","5/12",98.49,97.61,"card","CP004067.1:52914-53709","APH(3')-IIIa is a plasmid-encoded aminoglycoside phosphotransferase in S. aureus and Enterococcus spp.","aminoglycoside","Pseudomonadota"
1224,"D28","8c0384d4-6cd3-406f-8e15-53e94ce326f2",252,403,"+","Col156_1","1-152/154","===============","0/0",98.7,98.03,"plasmidfinder","NC_009781","Col156_1__NC_009781",NA,"Pseudomonadota"
1224,"D29","494d29dc-9ab8-45b7-ac6d-d67a8e933d85",9079,9861,"-","APH(3')-IIIa","1-795/795","========/======","5/12",98.49,97.61,"card","CP004067.1:52914-53709","APH(3')-IIIa is a plasmid-encoded aminoglycoside phosphotransferase in S. aureus and Enterococcus spp.","aminoglycoside","Pseudomonadota"
1224,"D29","4ce8e25e-93d3-4920-92e8-66ae97535f98",158,439,"-","Col440II_1","1-282/282","========/======","2/2",99.65,96.82,"plasmidfinder","CP023921","Col440II_1__CP023921",NA,"Pseudomonadota"
1224,"D36","56b5ed70-235a-4814-a923-dbe79b651811",1309,1588,"+","Col440II_1","1-282/282","========/======","1/2",99.29,95.75,"plasmidfinder","CP023921","Col440II_1__CP023921",NA,"Pseudomonadota"
1224,"D24","82262f46-eb6c-42bc-9138-bc5bb5591aed",4191,5051,"-","TEM-1","1-861/861","========/======","2/2",99.88,99.19,"card","AL513383.1:161910-162771","TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.","cephalosporin;monobactam;penam;penem","Pseudomonadota"
1224,"D36","56b5ed70-235a-4814-a923-dbe79b651811",1309,1588,"+","Col440II_1","1-282/282","========/======","1/2",99.29,95.75,"plasmidfinder","CP023921","Col440II_1__CP023921",NA,"Pseudomonadota"
1224,"D33","953ebc51-49f5-41b9-98f6-ce344b38e4e6",201,484,"-","Col440II_1","1-282/282","========/======","1/2",100,96.13,"plasmidfinder","CP023921","Col440II_1__CP023921",NA,"Pseudomonadota"
1236,"D35","2894f75a-b490-4d7d-9b6e-c9cf54107eab",812,1771,"+","gspC","1-960/960","===============","0/0",100,95.73,"vfdb","WP_000135089","(gspC) general secretion pathway protein C [T2SS (VF0333) - Effector delivery system (VFC0086)] [Shigella dysenteriae Sd197]",NA,"Gammaproteobacteria"
1236,"D23","a6509090-c808-48b0-915d-ef4613a3b792",109,366,"-","Col(MG828)_1","1-260/262","========/======","5/6",97.71,85.88,"plasmidfinder","NC_008486","Col(MG828)_1__NC_008486",NA,"Gammaproteobacteria"
1236,"D33","25530b72-e4b9-4434-a69e-eb29b4d6125b",2415,3581,"-","ugd","1-1167/1167","===============","0/0",100,96.4,"card","U00096.1:2099613-2098446","PmrE is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin.","peptide","Gammaproteobacteria"
1236,"D32","2fe8b625-b8c2-4a9a-9c96-1b8d70081ce1",659,916,"+","Col(MG828)_1","1-262/262","========/======","6/8",97.71,85.61,"plasmidfinder","NC_008486","Col(MG828)_1__NC_008486",NA,"Gammaproteobacteria"
1236,"D27","6d481e40-0e2d-487b-baa5-f33d979a90c2",1001,1262,"+","Col(MG828)_1","1-262/262","========/======","2/2",99.62,91.25,"plasmidfinder","NC_008486","Col(MG828)_1__NC_008486",NA,"Gammaproteobacteria"
1236,"D36","2807b325-b7da-41be-910e-3810d1dfa80e",1487,1984,"+","IncFIC(FII)_1","1-499/499","========/======","2/5",99.4,98,"plasmidfinder","AP001918","IncFIC(FII)_1__AP001918",NA,"Gammaproteobacteria"
1236,"D25","89bd09b4-57f4-4471-afde-15e38b414f50",730,991,"+","Col(MG828)_1","1-262/262","===============","0/0",100,91.98,"plasmidfinder","NC_008486","Col(MG828)_1__NC_008486",NA,"Gammaproteobacteria"
1236,"D29","cb7eb188-349c-48ca-8514-1ed69b113645",2717,2998,"-","Col440II_1","1-282/282","===============","0/0",100,97.87,"plasmidfinder","CP023921","Col440II_1__CP023921",NA,"Gammaproteobacteria"
1236,"D25","25c335fc-0f51-4d55-a97b-ab6a766d5a0b",722,983,"+","Col(MG828)_1","1-262/262","===============","0/0",100,91.98,"plasmidfinder","NC_008486","Col(MG828)_1__NC_008486",NA,"Gammaproteobacteria"
1236,"D36","a81ec353-2976-474d-91fb-cf3283d2c255",2158,2776,"+","entD","1-621/621","========/======","2/4",99.52,93.41,"vfdb","WP_001375021","(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Gammaproteobacteria"
1236,"D32","2fe8b625-b8c2-4a9a-9c96-1b8d70081ce1",659,916,"+","Col(MG828)_1","1-262/262","========/======","6/8",97.71,85.61,"plasmidfinder","NC_008486","Col(MG828)_1__NC_008486",NA,"Gammaproteobacteria"
1236,"D25","89bd09b4-57f4-4471-afde-15e38b414f50",730,991,"+","Col(MG828)_1","1-262/262","===============","0/0",100,91.98,"plasmidfinder","NC_008486","Col(MG828)_1__NC_008486",NA,"Gammaproteobacteria"
1236,"D29","cb7eb188-349c-48ca-8514-1ed69b113645",1997,2127,"-","Col(pHAD28)_1","1-131/131","===============","0/0",100,90.84,"plasmidfinder","KU674895","Col(pHAD28)_1__KU674895",NA,"Gammaproteobacteria"
1236,"D34","ef348e79-aca8-40d3-ad2f-a15ba8b5808e",3026,3156,"-","Col(pHAD28)_1","1-131/131","===============","0/0",100,93.13,"plasmidfinder","KU674895","Col(pHAD28)_1__KU674895",NA,"Gammaproteobacteria"
1236,"D34","ef348e79-aca8-40d3-ad2f-a15ba8b5808e",3026,3156,"-","Col(pHAD28)_1","1-131/131","===============","0/0",100,93.13,"plasmidfinder","KU674895","Col(pHAD28)_1__KU674895",NA,"Gammaproteobacteria"
1236,"D36","a81ec353-2976-474d-91fb-cf3283d2c255",1,1983,"+","fepA","257-2241/2241",".=======/======","2/4",88.44,96.53,"vfdb","WP_001034892","(fepA) ferrienterobactin outer membrane transporter [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Gammaproteobacteria"
1236,"D36","a81ec353-2976-474d-91fb-cf3283d2c255",1,1983,"+","fepA","257-2241/2241",".=======/======","2/4",88.44,96.53,"vfdb","WP_001034892","(fepA) ferrienterobactin outer membrane transporter [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]",NA,"Gammaproteobacteria"
1236,"D29","e72084c2-8cb1-4a86-ba18-c00b7478090a",2014,2144,"-","Col(pHAD28)_1","1-131/131","===============","0/0",100,90.84,"plasmidfinder","KU674895","Col(pHAD28)_1__KU674895",NA,"Gammaproteobacteria"
